NU Form Prefix Period Genre Rootfinal SemClass SJA
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu mascsg Unprefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
nu mascsg Unprefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 privat velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Unprefixed 2000- nonfiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 mix velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1800-1849 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1800-1849 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 massmedia velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Unprefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
nu mascsg Unprefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 massmedia velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 privat velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1800-1849 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1800-1849 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1800-1849 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1950-1999 church velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 church velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 church velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
nu mascsg Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 nonfiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 privat velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Unprefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- privat velarplosive InchIntr NoSja
NoNu part Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
nu part Prefixed 1850-1899 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 privat velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu mascsg Unprefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 mix velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 nonfiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu finite Prefixed 1900-1949 privat velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1950-1999 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu finite Prefixed 1850-1899 fiction velarplosive InchIntr NoSja
NoNu part Prefixed 1900-1949 massmedia velarplosive InchIntr NoSja
NoNu mascsg Prefixed 1800-1849 privat velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
NoNu part Prefixed 2000- fiction velarplosive InchIntr NoSja
